German,English
Ich,I
ist,is
ich,I
nicht,Not
Sie,you
du,you
das,the
die,the
es,it
und,and
der,the
zu,to
sie,you
Das,The
ein,a
in,in
wir,we
Du,You
mir,me
mit,With
Was,What
den,the
mich,me
was,What
auf,on
dass,that
er,he
eine,a
Es,It
hat,Has
Wir,We
so,so
sind,are
von,of
dich,you
war,was
haben,to have
Ja,Yes
hier,here
an,at
habe,have
Er,He
bin,am
wie,how
noch,still
dir,to you
uns,us
sich,yourself
Die,The
nur,just
einen,one
Nein,No
dem,the
ihn,him
auch,also
sein,be
ihr,you
da,there
aus,out
kann,can
aber,but
Aber,But
wenn,if
wird,becomes
um,around
Wie,How
als,as
bist,are
im,in the
mal,times
doch,but
meine,my
jetzt,now
Wenn,If
werden,become
Der,The
nach,to
ja,Yes
Oh,Oh
oder,or
dann,then
will,want
mein,my
mehr,more
keine,no
etwas,something
alles,everything
muss,got to
immer,always
nichts,Nothing
man,you
wieder,again
bei,at
machen,do
vor,in front
Mann,man
ihm,him
einem,one
tun,to do
zum,to the
sagen,say
werde,will
denn,because
Ist,is
Ein,A
Warum,Why
einer,one
sehr,very
alle,all
diese,these
einfach,easy
euch,to you
des,of
nie,never
Also,So
Wo,Where
los,Come on
Zeit,time
Ihnen,them
gibt,gives
wirklich,really
Hey,Hey
Danke,thanks
deine,yours
soll,should
Da,There
hatte,would have
Hier,Here
wissen,knowledge
bitte,You're welcome
viel,much
Dann,Then
So,So
gesagt,told
Ihr,your
am,at the
kein,no
Komm,come over
Wer,who
wurde,has been
In,In
wollte,wanted
Frau,Mrs
Leben,Life
wo,Where
damit,in order to
Nicht,Not
Gott,God
Leute,People
heute,today
meinen,mean
dieser,this
dein,your
kommt,coming
kommen,come
willst,want
Na,N / A
wollen,want
sicher,for sure
ganz,all
Jetzt,Now
Mein,My
Mr,mr
also,so
zur,to
Hast,Has
weil,because
tut,does
Hallo,Hello
Okay,OK
macht,makes
waren,were
bis,to
Vielleicht,Maybe
Eine,A
Bitte,You're welcome
weg,path
seine,his
lassen,to let
Vater,father
gesehen,seen
Nun,Now
gerade,just
glaube,faith
Tag,Day
ab,from
Geld,money
gemacht,made
